5 , 27887  lxpanel , restart_syscall(<... resuming interrupted poll ...>) = 0
363 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
364 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
365 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
366 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
367 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
368 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
369 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
370 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
371 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
372 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
373 , 27887  lxpanel , write(4<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 8) = 8
374 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
375 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"&\0\2\0\36\0 \1", 8}, {NULL, 0}, {"", 0}], 3) = 8
376 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
377 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1u\366\0\0\0\0%\2\0\0\0\0\0\0\7\0\365\2\7\0\17\0\0\1\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
378 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaae90, 0) = -1 EAGAIN (Resource temporarily unavailable)
379 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaae90, 0) = -1 EAGAIN (Resource temporarily unavailable)
380 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
381 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"&\0\2\0'\337 \1", 8}, {NULL, 0}, {"", 0}], 3) = 8
382 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
383 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1v\366\0\0\0\0%\2\0\0\0\0\0\0\7\0\365\2k\0Y\3\0\1\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
384 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaae90, 0) = -1 EAGAIN (Resource temporarily unavailable)
385 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaae90, 0) = -1 EAGAIN (Resource temporarily unavailable)
386 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
387 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"$\0\1\0&\337\2\0%\2\0\0", 12}, {NULL, 0}, {"", 0}], 3) = 12
388 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
389 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1x\366\0\0\0\0%\2\0\0\1\1\0\1\7\0\365\2\7\0\365\2\0\1\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
390 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaeb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
391 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaeb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
392 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
393 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"&\0\2\0\1\1\0\1", 8}, {NULL, 0}, {"", 0}], 3) = 8
394 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
395 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1y\366\0\0\0\0%\2\0\0\36\0 \1\7\0\365\2\7\0\17\0\0\1\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
396 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaeb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
397 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaeb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
398 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
399 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"&\0\2\0\36\0 \1", 8}, {NULL, 0}, {"", 0}], 3) = 8
400 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
401 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1z\366\0\0\0\0%\2\0\0\0\0\0\0\7\0\365\2\7\0\17\0\0\1\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
402 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaeb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
403 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaeb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
404 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
405 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"%\0\1\0", 4}, {NULL, 0}, {"", 0}], 3) = 4
406 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaf60, 0) = -1 EAGAIN (Resource temporarily unavailable)
407 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
408 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
409 , 27887  lxpanel , read(4<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 16) = 8
410 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
411 , 27887  lxpanel , read(4<anon_inode:[eventfd]>, 0x7fffbdfab480, 16) = -1 EAGAIN (Resource temporarily unavailable)
412 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
413 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
414 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
415 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
416 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
417 , 27887  lxpanel , write(4<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 8) = 8
418 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
419 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"&\0\2\0'\337 \1", 8}, {NULL, 0}, {"", 0}], 3) = 8
420 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
421 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1|\366\0\0\0\0%\2\0\0\0\0\0\0\7\0\365\2k\0Y\3\0\1\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
422 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaae90, 0) = -1 EAGAIN (Resource temporarily unavailable)
423 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaae90, 0) = -1 EAGAIN (Resource temporarily unavailable)
424 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
425 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"&\0\2\0\370\0 \1", 8}, {NULL, 0}, {"", 0}], 3) = 8
426 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
427 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1}\366\0\0\0\0%\2\0\0\0\0\0\0\7\0\365\2\5\0J\1\0\1\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
428 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaae90, 0) = -1 EAGAIN (Resource temporarily unavailable)
429 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaae90, 0) = -1 EAGAIN (Resource temporarily unavailable)
430 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
431 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
432 , 27887  lxpanel , read(4<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 16) = 8
433 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
434 , 27887  lxpanel , read(4<anon_inode:[eventfd]>, 0x7fffbdfab480, 16) = -1 EAGAIN (Resource temporarily unavailable)
435 , 27887  lxpanel , write(4<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 8) = 8
436 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
437 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
438 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
439 , 27887  lxpanel , read(4<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 16) = 8
440 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
441 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"(\0\4\0\36\0 \1%\2\0\0\0\0\0\0", 16}, {NULL, 0}, {"", 0}], 3) = 16
442 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
443 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1~\366\0\0\0\0\1\1\0\1\0\0\346\2\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
444 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaa8f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
445 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaa8f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
446 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
447 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"5\30\4\0(\337 \1\36\0 \1!\0\32\0007\1\7\0)\337 \1(\337 \1\0\5\1\0\1\0\0\0P\0 \1\0\0\0\0;\3\5\0)\337"..., 6584}, {NULL, 0}, {"", 0}], 3) = 6584
448 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2c0, 0) = -1 EAGAIN (Resource temporarily unavailable)
449 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
450 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
451 , 27887  lxpanel , read(4<anon_inode:[eventfd]>, 0x7fffbdfab480, 16) = -1 EAGAIN (Resource temporarily unavailable)
452 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
453 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"\24\0\6\0%\2\0\0\213\1\0\0!\0\0\0\0\0\0\0\377\377\377\377", 24}, {NULL, 0}, {"", 0}], 3) = 24
454 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
455 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1 \355\366\3\0\0\0!\0\0\0\0\0\0\0\3\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\3\0\340\0\244\0\340\0\36\0 \1", 4096}], msg_controllen=0, msg_flags=0}, 0) = 44
456 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab110, 0) = -1 EAGAIN (Resource temporarily unavailable)
457 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab110, 0) = -1 EAGAIN (Resource temporarily unavailable)
458 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
459 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"+\0\1\0", 4}, {NULL, 0}, {"", 0}], 3) = 4
460 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
461 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\2\356\366\0\0\0\0\4\0\340\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
462 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab1a0, 0) = -1 EAGAIN (Resource temporarily unavailable)
463 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab1a0, 0) = -1 EAGAIN (Resource temporarily unavailable)
464 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
465 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"\24\0\6\0%\2\0\0\212\1\0\0!\0\0\0\0\0\0\0\377\377\377\377", 24}, {NULL, 0}, {"", 0}], 3) = 24
466 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
467 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1 \357\366\3\0\0\0!\0\0\0\0\0\0\0\3\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\36\0 \1\3\0\340\0\244\0\340\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 44
468 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab110, 0) = -1 EAGAIN (Resource temporarily unavailable)
469 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab110, 0) = -1 EAGAIN (Resource temporarily unavailable)
470 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
471 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"+\0\1\0", 4}, {NULL, 0}, {"", 0}], 3) = 4
472 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
473 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\2\360\366\0\0\0\0\4\0\340\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
474 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab1a0, 0) = -1 EAGAIN (Resource temporarily unavailable)
475 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab1a0, 0) = -1 EAGAIN (Resource temporarily unavailable)
476 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
477 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
478 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
479 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 257) = 1 ([{fd=3, revents=POLLIN}])
480 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\5\1\360\366j\270+\6%\2\0\0\36\0 \1\0\0\0\0\7\0\365\2\7\0\17\0\0\1\1\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
481 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
482 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
483 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"(\0\4\0\36\0 \1%\2\0\0\2\0\0\0", 16}, {NULL, 0}, {"", 0}], 3) = 16
484 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
485 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1\361\366\0\0\0\0\1\1\0\1\2\0\346\2\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
486 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab180, 0) = -1 EAGAIN (Resource temporarily unavailable)
487 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab180, 0) = -1 EAGAIN (Resource temporarily unavailable)
488 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
489 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"(\0\4\0\370\0 \1%\2\0\0\0\0\0\0", 16}, {NULL, 0}, {"", 0}], 3) = 16
490 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
491 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1\362\366\0\0\0\0\370\0 \1\2\0\253\1\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
492 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab180, 0) = -1 EAGAIN (Resource temporarily unavailable)
493 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab180, 0) = -1 EAGAIN (Resource temporarily unavailable)
494 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
495 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 172) = 1 ([{fd=3, revents=POLLIN}])
496 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\6\0\362\366\31\271+\6%\2\0\0\36\0 \1\0\0\0\0\10\0\364\2\10\0\16\0\0\0\1\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
497 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
498 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
499 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"(\0\4\0\36\0 \1%\2\0\0\0\0\0\0", 16}, {NULL, 0}, {"", 0}], 3) = 16
500 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
501 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1\363\366\0\0\0\0\1\1\0\1\0\0\346\2\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
502 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab180, 0) = -1 EAGAIN (Resource temporarily unavailable)
503 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab180, 0) = -1 EAGAIN (Resource temporarily unavailable)
504 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
505 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"(\0\4\0\370\0 \1%\2\0\0\0\0\0\0", 16}, {NULL, 0}, {"", 0}], 3) = 16
506 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
507 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1\364\366\0\0\0\0\370\0 \1\2\0\253\1\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
508 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab180, 0) = -1 EAGAIN (Resource temporarily unavailable)
